align_bits,num_jumps,dummy_branches_corrected,rc5,mispred_per_iter,rc5_per_iter
4,70,72,150407,0.000407,0.150407
4,71,73,150270,0.00027,0.15027
4,72,74,150256,0.000256,0.150256
4,73,75,150259,0.000259,0.150259
4,74,76,150286,0.000286,0.150286
4,75,77,150266,0.000266,0.150266
4,76,78,150462,0.000462,0.150462
4,77,79,150263,0.000263,0.150263
4,78,80,150246,0.000246,0.150246
4,79,81,150156,0.000156,0.150156
4,80,82,150163,0.000163,0.150163
4,81,83,150111,0.000111,0.150111
4,82,84,150773,0.000773,0.150773
4,83,85,150282,0.000282,0.150282
4,84,86,150271,0.000271,0.150271
4,85,87,150605,0.000605,0.150605
4,86,88,151283,0.001283,0.151283
4,87,89,150257,0.000257,0.150257
4,88,90,150250,0.00025,0.15025
4,89,91,150263,0.000263,0.150263
4,90,92,150247,0.000247,0.150247
4,91,93,150180,0.00018,0.15018
4,92,94,150727,0.000727,0.150727
4,93,95,150159,0.000159,0.150159
4,94,96,150234,0.000234,0.150234
4,95,97,150214,0.000214,0.150214
4,96,98,200355,0.050355,0.200355
4,97,99,200489,0.050489,0.200489
4,98,100,200487,0.050487,0.200487
4,99,101,200321,0.050321,0.200321
4,100,102,200487,0.050487,0.200487
4,101,103,200241,0.050241,0.200241
5,67,69,150245,0.000245,0.150245
5,68,70,150140,0.00014,0.15014
5,69,71,150225,0.000225,0.150225
5,70,72,150449,0.000449,0.150449
5,71,73,150210,0.00021,0.15021
5,72,74,150259,0.000259,0.150259
5,73,75,150121,0.000121,0.150121
5,74,76,150270,0.00027,0.15027
5,75,77,150254,0.000254,0.150254
5,76,78,150242,0.000242,0.150242
5,77,79,150254,0.000254,0.150254
5,78,80,150262,0.000262,0.150262
5,79,81,150224,0.000224,0.150224
5,80,82,150127,0.000127,0.150127
5,81,83,150198,0.000198,0.150198
5,82,84,150242,0.000242,0.150242
5,83,85,150145,0.000145,0.150145
5,84,86,150216,0.000216,0.150216
5,85,87,150215,0.000215,0.150215
5,86,88,150253,0.000253,0.150253
5,87,89,150248,0.000248,0.150248
5,88,90,150257,0.000257,0.150257
5,89,91,150240,0.00024,0.15024
5,90,92,150281,0.000281,0.150281
5,91,93,150246,0.000246,0.150246
5,92,94,150228,0.000228,0.150228
5,93,95,150261,0.000261,0.150261
5,94,96,150211,0.000211,0.150211
5,95,97,200415,0.050415,0.200415
5,96,98,200611,0.050611,0.200611
5,97,99,200278,0.050278,0.200278
5,98,100,200488,0.050488,0.200488
5,99,101,200451,0.050451,0.200451
5,100,102,200399,0.050399,0.200399
5,101,103,200499,0.050499,0.200499
6,67,69,150122,0.000122,0.150122
6,68,70,150225,0.000225,0.150225
6,69,71,150244,0.000244,0.150244
6,70,72,150250,0.00025,0.15025
6,71,73,150230,0.00023,0.15023
6,72,74,150291,0.000291,0.150291
6,73,75,150623,0.000623,0.150623
6,74,76,150157,0.000157,0.150157
6,75,77,150277,0.000277,0.150277
6,76,78,150270,0.00027,0.15027
6,77,79,150218,0.000218,0.150218
6,78,80,150268,0.000268,0.150268
6,79,81,150147,0.000147,0.150147
6,80,82,150262,0.000262,0.150262
6,81,83,150257,0.000257,0.150257
6,82,84,150239,0.000239,0.150239
6,83,85,150248,0.000248,0.150248
6,84,86,150303,0.000303,0.150303
6,85,87,150258,0.000258,0.150258
6,86,88,150285,0.000285,0.150285
6,87,89,150142,0.000142,0.150142
6,88,90,150124,0.000124,0.150124
6,89,91,150257,0.000257,0.150257
6,90,92,150311,0.000311,0.150311
6,91,93,150255,0.000255,0.150255
6,92,94,150255,0.000255,0.150255
6,93,95,150231,0.000231,0.150231
6,94,96,200540,0.05054,0.20054
6,95,97,200478,0.050478,0.200478
6,96,98,200387,0.050387,0.200387
6,97,99,200464,0.050464,0.200464
6,98,100,200501,0.050501,0.200501
6,99,101,200492,0.050492,0.200492
6,100,102,200464,0.050464,0.200464
6,101,103,200476,0.050476,0.200476
7,67,69,150639,0.000639,0.150639
7,68,70,150251,0.000251,0.150251
7,69,71,150154,0.000154,0.150154
7,70,72,150317,0.000317,0.150317
7,71,73,150118,0.000118,0.150118
7,72,74,150117,0.000117,0.150117
7,73,75,150187,0.000187,0.150187
7,74,76,150218,0.000218,0.150218
7,75,77,150222,0.000222,0.150222
7,76,78,150193,0.000193,0.150193
7,77,79,150290,0.00029,0.15029
7,78,80,150100,0.0001,0.1501
7,79,81,149739,-0.000261,0.149739
7,80,82,150154,0.000154,0.150154
7,81,83,150107,0.000107,0.150107
7,82,84,150166,0.000166,0.150166
7,83,85,150726,0.000726,0.150726
7,84,86,150140,0.00014,0.15014
7,85,87,150267,0.000267,0.150267
7,86,88,150172,0.000172,0.150172
7,87,89,150359,0.000359,0.150359
7,88,90,150136,0.000136,0.150136
7,89,91,150160,0.00016,0.15016
7,90,92,150148,0.000148,0.150148
7,91,93,150326,0.000326,0.150326
7,92,94,150245,0.000245,0.150245
7,93,95,200455,0.050455,0.200455
7,94,96,200506,0.050506,0.200506
7,95,97,199879,0.049879,0.199879
7,96,98,200484,0.050484,0.200484
7,97,99,200405,0.050405,0.200405
7,98,100,200408,0.050408,0.200408
7,99,101,200551,0.050551,0.200551
7,100,102,200479,0.050479,0.200479
7,101,103,200383,0.050383,0.200383
8,67,69,150237,0.000237,0.150237
8,68,70,150328,0.000328,0.150328
8,69,71,150143,0.000143,0.150143
8,70,72,150285,0.000285,0.150285
8,71,73,150269,0.000269,0.150269
8,72,74,150121,0.000121,0.150121
8,73,75,150731,0.000731,0.150731
8,74,76,150237,0.000237,0.150237
8,75,77,150210,0.00021,0.15021
8,76,78,150605,0.000605,0.150605
8,77,79,150144,0.000144,0.150144
8,78,80,150279,0.000279,0.150279
8,79,81,150232,0.000232,0.150232
8,80,82,150308,0.000308,0.150308
8,81,83,150155,0.000155,0.150155
8,82,84,150155,0.000155,0.150155
8,83,85,150238,0.000238,0.150238
8,84,86,150257,0.000257,0.150257
8,85,87,150121,0.000121,0.150121
8,86,88,150584,0.000584,0.150584
8,87,89,150118,0.000118,0.150118
8,88,90,150224,0.000224,0.150224
8,89,91,150256,0.000256,0.150256
8,90,92,150218,0.000218,0.150218
8,91,93,150284,0.000284,0.150284
8,92,94,200260,0.05026,0.20026
8,93,95,200353,0.050353,0.200353
8,94,96,200459,0.050459,0.200459
8,95,97,200424,0.050424,0.200424
8,96,98,200423,0.050423,0.200423
8,97,99,200508,0.050508,0.200508
8,98,100,200345,0.050345,0.200345
8,99,101,200450,0.05045,0.20045
8,100,102,200318,0.050318,0.200318
8,101,103,200350,0.05035,0.20035
9,67,69,150527,0.000527,0.150527
9,68,70,150104,0.000104,0.150104
9,69,71,150201,0.000201,0.150201
9,70,72,150144,0.000144,0.150144
9,71,73,150357,0.000357,0.150357
9,72,74,150098,9.8e-05,0.150098
9,73,75,150101,0.000101,0.150101
9,74,76,150259,0.000259,0.150259
9,75,77,150224,0.000224,0.150224
9,76,78,150231,0.000231,0.150231
9,77,79,150191,0.000191,0.150191
9,78,80,150111,0.000111,0.150111
9,79,81,150131,0.000131,0.150131
9,80,82,150712,0.000712,0.150712
9,81,83,150049,4.9e-05,0.150049
9,82,84,151272,0.001272,0.151272
9,83,85,150241,0.000241,0.150241
9,84,86,150334,0.000334,0.150334
9,85,87,150136,0.000136,0.150136
9,86,88,150202,0.000202,0.150202
9,87,89,150231,0.000231,0.150231
9,88,90,150245,0.000245,0.150245
9,89,91,150346,0.000346,0.150346
9,90,92,150207,0.000207,0.150207
9,91,93,200306,0.050306,0.200306
9,92,94,200322,0.050322,0.200322
9,93,95,200408,0.050408,0.200408
9,94,96,200311,0.050311,0.200311
9,95,97,200399,0.050399,0.200399
9,96,98,200399,0.050399,0.200399
9,97,99,200458,0.050458,0.200458
9,98,100,200269,0.050269,0.200269
9,99,101,200477,0.050477,0.200477
9,100,102,200398,0.050398,0.200398
9,101,103,200562,0.050562,0.200562
10,67,69,150192,0.000192,0.150192
10,68,70,150154,0.000154,0.150154
10,69,71,150096,9.6e-05,0.150096
10,70,72,150220,0.00022,0.15022
10,71,73,150258,0.000258,0.150258
10,72,74,150224,0.000224,0.150224
10,73,75,150304,0.000304,0.150304
10,74,76,150306,0.000306,0.150306
10,75,77,150190,0.00019,0.15019
10,76,78,150274,0.000274,0.150274
10,77,79,150309,0.000309,0.150309
10,78,80,150267,0.000267,0.150267
10,79,81,150143,0.000143,0.150143
10,80,82,150199,0.000199,0.150199
10,81,83,150457,0.000457,0.150457
10,82,84,150128,0.000128,0.150128
10,83,85,150283,0.000283,0.150283
10,84,86,151277,0.001277,0.151277
10,85,87,150232,0.000232,0.150232
10,86,88,150343,0.000343,0.150343
10,87,89,150492,0.000492,0.150492
10,88,90,150239,0.000239,0.150239
10,89,91,150238,0.000238,0.150238
10,90,92,200514,0.050514,0.200514
10,91,93,200357,0.050357,0.200357
10,92,94,200316,0.050316,0.200316
10,93,95,200600,0.0506,0.2006
10,94,96,200467,0.050467,0.200467
10,95,97,200330,0.05033,0.20033
10,96,98,200361,0.050361,0.200361
10,97,99,200405,0.050405,0.200405
10,98,100,200439,0.050439,0.200439
10,99,101,200370,0.05037,0.20037
10,100,102,200428,0.050428,0.200428
10,101,103,200433,0.050433,0.200433
11,67,69,150251,0.000251,0.150251
11,68,70,150252,0.000252,0.150252
11,69,71,150176,0.000176,0.150176
11,70,72,150348,0.000348,0.150348
11,71,73,150221,0.000221,0.150221
11,72,74,150210,0.00021,0.15021
11,73,75,150309,0.000309,0.150309
11,74,76,150179,0.000179,0.150179
11,75,77,150191,0.000191,0.150191
11,76,78,150133,0.000133,0.150133
11,77,79,150142,0.000142,0.150142
11,78,80,150505,0.000505,0.150505
11,79,81,150260,0.00026,0.15026
11,80,82,150148,0.000148,0.150148
11,81,83,150161,0.000161,0.150161
11,82,84,150147,0.000147,0.150147
11,83,85,150216,0.000216,0.150216
11,84,86,150148,0.000148,0.150148
11,85,87,151001,0.001001,0.151001
11,86,88,150150,0.00015,0.15015
11,87,89,150142,0.000142,0.150142
11,88,90,150253,0.000253,0.150253
11,89,91,200390,0.05039,0.20039
11,90,92,200423,0.050423,0.200423
11,91,93,200467,0.050467,0.200467
11,92,94,200361,0.050361,0.200361
11,93,95,200477,0.050477,0.200477
11,94,96,200403,0.050403,0.200403
11,95,97,200457,0.050457,0.200457
11,96,98,200457,0.050457,0.200457
11,97,99,200540,0.05054,0.20054
11,98,100,200437,0.050437,0.200437
11,99,101,200416,0.050416,0.200416
11,100,102,200285,0.050285,0.200285
11,101,103,200244,0.050244,0.200244
12,67,69,150685,0.000685,0.150685
12,68,70,150494,0.000494,0.150494
12,69,71,150218,0.000218,0.150218
12,70,72,150253,0.000253,0.150253
12,71,73,150745,0.000745,0.150745
12,72,74,150657,0.000657,0.150657
12,73,75,150268,0.000268,0.150268
12,74,76,150165,0.000165,0.150165
12,75,77,150182,0.000182,0.150182
12,76,78,150203,0.000203,0.150203
12,77,79,150190,0.00019,0.15019
12,78,80,150146,0.000146,0.150146
12,79,81,150159,0.000159,0.150159
12,80,82,150191,0.000191,0.150191
12,81,83,150301,0.000301,0.150301
12,82,84,150121,0.000121,0.150121
12,83,85,150654,0.000654,0.150654
12,84,86,150933,0.000933,0.150933
12,85,87,150258,0.000258,0.150258
12,86,88,150144,0.000144,0.150144
12,87,89,150236,0.000236,0.150236
12,88,90,200530,0.05053,0.20053
12,89,91,200478,0.050478,0.200478
12,90,92,200404,0.050404,0.200404
12,91,93,200384,0.050384,0.200384
12,92,94,200480,0.05048,0.20048
12,93,95,200342,0.050342,0.200342
12,94,96,200325,0.050325,0.200325
12,95,97,200359,0.050359,0.200359
12,96,98,200453,0.050453,0.200453
12,97,99,200493,0.050493,0.200493
12,98,100,200322,0.050322,0.200322
12,99,101,200623,0.050623,0.200623
12,100,102,200386,0.050386,0.200386
12,101,103,200390,0.05039,0.20039
13,67,69,150519,0.000519,0.150519
13,68,70,150315,0.000315,0.150315
13,69,71,150156,0.000156,0.150156
13,70,72,150052,5.2e-05,0.150052
13,71,73,150464,0.000464,0.150464
13,72,74,150366,0.000366,0.150366
13,73,75,150270,0.00027,0.15027
13,74,76,150227,0.000227,0.150227
13,75,77,150282,0.000282,0.150282
13,76,78,150625,0.000625,0.150625
13,77,79,150228,0.000228,0.150228
13,78,80,150308,0.000308,0.150308
13,79,81,150249,0.000249,0.150249
13,80,82,150238,0.000238,0.150238
13,81,83,150145,0.000145,0.150145
13,82,84,150402,0.000402,0.150402
13,83,85,150170,0.00017,0.15017
13,84,86,150354,0.000354,0.150354
13,85,87,150220,0.00022,0.15022
13,86,88,150481,0.000481,0.150481
13,87,89,200309,0.050309,0.200309
13,88,90,200474,0.050474,0.200474
13,89,91,200523,0.050523,0.200523
13,90,92,200483,0.050483,0.200483
13,91,93,200385,0.050385,0.200385
13,92,94,200385,0.050385,0.200385
13,93,95,200383,0.050383,0.200383
13,94,96,200127,0.050127,0.200127
13,95,97,200263,0.050263,0.200263
13,96,98,200425,0.050425,0.200425
13,97,99,200379,0.050379,0.200379
13,98,100,200446,0.050446,0.200446
13,99,101,200444,0.050444,0.200444
13,100,102,200360,0.05036,0.20036
13,101,103,200309,0.050309,0.200309
14,67,69,151174,0.001174,0.151174
14,68,70,150425,0.000425,0.150425
14,69,71,150535,0.000535,0.150535
14,70,72,150410,0.00041,0.15041
14,71,73,151465,0.001465,0.151465
14,72,74,150563,0.000563,0.150563
14,73,75,150638,0.000638,0.150638
14,74,76,151483,0.001483,0.151483
14,75,77,150665,0.000665,0.150665
14,76,78,150970,0.00097,0.15097
14,77,79,150332,0.000332,0.150332
14,78,80,150539,0.000539,0.150539
14,79,81,150339,0.000339,0.150339
14,80,82,150308,0.000308,0.150308
14,81,83,150664,0.000664,0.150664
14,82,84,150307,0.000307,0.150307
14,83,85,150623,0.000623,0.150623
14,84,86,150300,0.0003,0.1503
14,85,87,150229,0.000229,0.150229
14,86,88,200395,0.050395,0.200395
14,87,89,200551,0.050551,0.200551
14,88,90,200551,0.050551,0.200551
14,89,91,200128,0.050128,0.200128
14,90,92,200192,0.050192,0.200192
14,91,93,200254,0.050254,0.200254
14,92,94,200335,0.050335,0.200335
14,93,95,200464,0.050464,0.200464
14,94,96,200384,0.050384,0.200384
14,95,97,200282,0.050282,0.200282
14,96,98,200373,0.050373,0.200373
14,97,99,200223,0.050223,0.200223
14,98,100,200360,0.05036,0.20036
14,99,101,200509,0.050509,0.200509
14,100,102,200610,0.05061,0.20061
14,101,103,200405,0.050405,0.200405
15,67,69,150690,0.00069,0.15069
15,68,70,150721,0.000721,0.150721
15,69,71,150741,0.000741,0.150741
15,70,72,150702,0.000702,0.150702
15,71,73,150773,0.000773,0.150773
15,72,74,150589,0.000589,0.150589
15,73,75,150517,0.000517,0.150517
15,74,76,150430,0.00043,0.15043
15,75,77,150529,0.000529,0.150529
15,76,78,150996,0.000996,0.150996
15,77,79,150585,0.000585,0.150585
15,78,80,150488,0.000488,0.150488
15,79,81,150506,0.000506,0.150506
15,80,82,150386,0.000386,0.150386
15,81,83,150698,0.000698,0.150698
15,82,84,150317,0.000317,0.150317
15,83,85,150423,0.000423,0.150423
15,84,86,150290,0.00029,0.15029
15,85,87,200453,0.050453,0.200453
15,86,88,200397,0.050397,0.200397
15,87,89,200455,0.050455,0.200455
15,88,90,200303,0.050303,0.200303
15,89,91,200410,0.05041,0.20041
15,90,92,200320,0.05032,0.20032
15,91,93,200435,0.050435,0.200435
15,92,94,200355,0.050355,0.200355
15,93,95,200452,0.050452,0.200452
15,94,96,200349,0.050349,0.200349
15,95,97,200428,0.050428,0.200428
15,96,98,200394,0.050394,0.200394
15,97,99,200379,0.050379,0.200379
15,98,100,200414,0.050414,0.200414
15,99,101,200300,0.0503,0.2003
15,100,102,200504,0.050504,0.200504
15,101,103,200373,0.050373,0.200373
16,67,69,151201,0.001201,0.151201
16,68,70,151131,0.001131,0.151131
16,69,71,151079,0.001079,0.151079
16,70,72,151683,0.001683,0.151683
16,71,73,151129,0.001129,0.151129
16,72,74,151083,0.001083,0.151083
16,73,75,151181,0.001181,0.151181
16,74,76,151148,0.001148,0.151148
16,75,77,150951,0.000951,0.150951
16,76,78,150863,0.000863,0.150863
16,77,79,150808,0.000808,0.150808
16,78,80,151017,0.001017,0.151017
16,79,81,150582,0.000582,0.150582
16,80,82,151208,0.001208,0.151208
16,81,83,150812,0.000812,0.150812
16,82,84,150726,0.000726,0.150726
16,83,85,150900,0.0009,0.1509
16,84,86,200480,0.05048,0.20048
16,85,87,200596,0.050596,0.200596
16,86,88,200412,0.050412,0.200412
16,87,89,200333,0.050333,0.200333
16,88,90,200516,0.050516,0.200516
16,89,91,200426,0.050426,0.200426
16,90,92,200447,0.050447,0.200447
16,91,93,200279,0.050279,0.200279
16,92,94,200084,0.050084,0.200084
16,93,95,200313,0.050313,0.200313
16,94,96,200503,0.050503,0.200503
16,95,97,200337,0.050337,0.200337
16,96,98,200096,0.050096,0.200096
16,97,99,200291,0.050291,0.200291
16,98,100,200620,0.05062,0.20062
16,99,101,200450,0.05045,0.20045
16,100,102,200366,0.050366,0.200366
16,101,103,200468,0.050468,0.200468
17,67,69,152861,0.002861,0.152861
17,68,70,152410,0.00241,0.15241
17,69,71,152465,0.002465,0.152465
17,70,72,152186,0.002186,0.152186
17,71,73,152445,0.002445,0.152445
17,72,74,152123,0.002123,0.152123
17,73,75,152121,0.002121,0.152121
17,74,76,151935,0.001935,0.151935
17,75,77,151823,0.001823,0.151823
17,76,78,151745,0.001745,0.151745
17,77,79,152519,0.002519,0.152519
17,78,80,152674,0.002674,0.152674
17,79,81,151709,0.001709,0.151709
17,80,82,151795,0.001795,0.151795
17,81,83,151725,0.001725,0.151725
17,82,84,151749,0.001749,0.151749
17,83,85,200002,0.050002,0.200002
17,84,86,200532,0.050532,0.200532
17,85,87,200323,0.050323,0.200323
17,86,88,200586,0.050586,0.200586
17,87,89,200636,0.050636,0.200636
17,88,90,200394,0.050394,0.200394
17,89,91,200404,0.050404,0.200404
17,90,92,200231,0.050231,0.200231
17,91,93,200664,0.050664,0.200664
17,92,94,200197,0.050197,0.200197
17,93,95,200211,0.050211,0.200211
17,94,96,200510,0.05051,0.20051
17,95,97,200520,0.05052,0.20052
17,96,98,200240,0.05024,0.20024
17,97,99,200604,0.050604,0.200604
17,98,100,200406,0.050406,0.200406
17,99,101,200504,0.050504,0.200504
17,100,102,200550,0.05055,0.20055
17,101,103,200411,0.050411,0.200411
18,67,69,166943,0.016943,0.166943
18,68,70,164235,0.014235,0.164235
18,69,71,163458,0.013458,0.163458
18,70,72,163185,0.013185,0.163185
18,71,73,162920,0.01292,0.16292
18,72,74,162855,0.012855,0.162855
18,73,75,162737,0.012737,0.162737
18,74,76,161873,0.011873,0.161873
18,75,77,161292,0.011292,0.161292
18,76,78,160466,0.010466,0.160466
18,77,79,161423,0.011423,0.161423
18,78,80,159763,0.009763,0.159763
18,79,81,159273,0.009273,0.159273
18,80,82,159583,0.009583,0.159583
18,81,83,161007,0.011007,0.161007
18,82,84,201233,0.051233,0.201233
18,83,85,200775,0.050775,0.200775
18,84,86,201407,0.051407,0.201407
18,85,87,201231,0.051231,0.201231
18,86,88,201289,0.051289,0.201289
18,87,89,201385,0.051385,0.201385
18,88,90,200794,0.050794,0.200794
18,89,91,201545,0.051545,0.201545
18,90,92,201039,0.051039,0.201039
18,91,93,201150,0.05115,0.20115
18,92,94,201118,0.051118,0.201118
18,93,95,200804,0.050804,0.200804
18,94,96,201167,0.051167,0.201167
18,95,97,200950,0.05095,0.20095
18,96,98,201467,0.051467,0.201467
18,97,99,200843,0.050843,0.200843
18,98,100,201325,0.051325,0.201325
18,99,101,201225,0.051225,0.201225
18,100,102,201085,0.051085,0.201085
18,101,103,201178,0.051178,0.201178
19,67,69,193608,0.043608,0.193608
19,68,70,192306,0.042306,0.192306
19,69,71,191452,0.041452,0.191452
19,70,72,190603,0.040603,0.190603
19,71,73,190075,0.040075,0.190075
19,72,74,189581,0.039581,0.189581
19,73,75,188198,0.038198,0.188198
19,74,76,186629,0.036629,0.186629
19,75,77,186067,0.036067,0.186067
19,76,78,185065,0.035065,0.185065
19,77,79,183970,0.03397,0.18397
19,78,80,188478,0.038478,0.188478
19,79,81,183201,0.033201,0.183201
19,80,82,183090,0.03309,0.18309
19,81,83,215516,0.065516,0.215516
19,82,84,215597,0.065597,0.215597
19,83,85,218392,0.068392,0.218392
19,84,86,215512,0.065512,0.215512
19,85,87,215584,0.065584,0.215584
19,86,88,215481,0.065481,0.215481
19,87,89,215673,0.065673,0.215673
19,88,90,215461,0.065461,0.215461
19,89,91,218207,0.068207,0.218207
19,90,92,215363,0.065363,0.215363
19,91,93,215174,0.065174,0.215174
19,92,94,215236,0.065236,0.215236
19,93,95,217788,0.067788,0.217788
19,94,96,217807,0.067807,0.217807
19,95,97,217529,0.067529,0.217529
19,96,98,215580,0.06558,0.21558
19,97,99,215047,0.065047,0.215047
19,98,100,216037,0.066037,0.216037
19,99,101,216006,0.066006,0.216006
19,100,102,219197,0.069197,0.219197
19,101,103,215764,0.065764,0.215764
